,res_id,filetype,filesize_mb,event,duration_ms
0,,,,xml upload preparation,1833
1,resource_0,,0,resource creation,160
2,resource_0,,0,looping overhead,0
3,resource_1,,0,resource creation,108
4,resource_1,,0,looping overhead,0
5,resource_2,,0,resource creation,120
6,resource_2,,0,looping overhead,0
7,resource_3,,0,resource creation,129
8,resource_3,,0,looping overhead,0
9,resource_4,,0,resource creation,107
10,resource_4,,0,looping overhead,0
11,resource_5,,0,resource creation,134
12,resource_5,,0,looping overhead,0
13,resource_6,,0,resource creation,111
14,resource_6,,0,looping overhead,0
15,resource_7,,0,resource creation,112
16,resource_7,,0,looping overhead,0
17,resource_8,,0,resource creation,136
18,resource_8,,0,looping overhead,0
19,resource_9,,0,resource creation,116
20,resource_9,,0,looping overhead,0
21,resource_10,,0,resource creation,130
22,resource_10,,0,looping overhead,0
23,resource_11,,0,resource creation,151
24,resource_11,,0,looping overhead,0
25,resource_12,,0,resource creation,112
26,resource_12,,0,looping overhead,0
27,resource_13,,0,resource creation,129
28,resource_13,,0,looping overhead,0
29,resource_14,,0,resource creation,111
30,resource_14,,0,looping overhead,0
31,resource_15,,0,resource creation,136
32,resource_15,,0,looping overhead,0
33,resource_16,,0,resource creation,106
34,resource_16,,0,looping overhead,0
35,resource_17,,0,resource creation,111
36,resource_17,,0,looping overhead,0
37,resource_18,,0,resource creation,135
38,resource_18,,0,looping overhead,0
39,resource_19,,0,resource creation,156
40,resource_19,,0,looping overhead,0
41,resource_20,,0,resource creation,134
42,resource_20,,0,looping overhead,0
43,resource_21,,0,resource creation,109
44,resource_21,,0,looping overhead,0
45,resource_22,,0,resource creation,115
46,resource_22,,0,looping overhead,0
47,resource_23,,0,resource creation,128
48,resource_23,,0,looping overhead,0
49,resource_24,,0,resource creation,106
50,resource_24,,0,looping overhead,0
51,resource_25,,0,resource creation,136
52,resource_25,,0,looping overhead,0
53,resource_26,,0,resource creation,114
54,resource_26,,0,looping overhead,0
55,resource_27,,0,resource creation,122
56,resource_27,,0,looping overhead,0
57,resource_28,,0,resource creation,125
58,resource_28,,0,looping overhead,0
59,resource_29,,0,resource creation,104
60,resource_29,,0,looping overhead,0
61,resource_30,,0,resource creation,145
62,resource_30,,0,looping overhead,0
63,resource_31,,0,resource creation,106
64,resource_31,,0,looping overhead,0
65,resource_32,,0,resource creation,107
66,resource_32,,0,looping overhead,0
67,resource_33,,0,resource creation,133
68,resource_33,,0,looping overhead,0
69,resource_34,,0,resource creation,109
70,resource_34,,0,looping overhead,0
71,resource_35,,0,resource creation,139
72,resource_35,,0,looping overhead,0
73,resource_36,,0,resource creation,118
74,resource_36,,0,looping overhead,0
75,resource_37,,0,resource creation,112
76,resource_37,,0,looping overhead,0
77,resource_38,,0,resource creation,124
78,resource_38,,0,looping overhead,0
79,resource_39,,0,resource creation,106
80,resource_39,,0,looping overhead,0
81,resource_40,,0,resource creation,131
82,resource_40,,0,looping overhead,0
83,resource_41,,0,resource creation,110
84,resource_41,,0,looping overhead,0
85,resource_42,,0,resource creation,116
86,resource_42,,0,looping overhead,0
87,resource_43,,0,resource creation,135
88,resource_43,,0,looping overhead,0
89,resource_44,,0,resource creation,130
90,resource_44,,0,looping overhead,0
91,resource_45,,0,resource creation,146
92,resource_45,,0,looping overhead,0
93,resource_46,,0,resource creation,108
94,resource_46,,0,looping overhead,0
95,resource_47,,0,resource creation,108
96,resource_47,,0,looping overhead,0
97,resource_48,,0,resource creation,143
98,resource_48,,0,looping overhead,0
99,resource_49,,0,resource creation,113
100,resource_49,,0,looping overhead,0
101,resource_50,,0,resource creation,145
102,resource_50,,0,looping overhead,0
103,resource_51,,0,resource creation,160
104,resource_51,,0,looping overhead,0
105,resource_52,,0,resource creation,112
106,resource_52,,0,looping overhead,0
107,resource_53,,0,resource creation,152
108,resource_53,,0,looping overhead,0
109,resource_54,,0,resource creation,135
110,resource_54,,0,looping overhead,0
111,resource_55,,0,resource creation,141
112,resource_55,,0,looping overhead,0
