,res_id,filetype,filesize_mb,event,duration_microsec
0,,,,xml upload preparation,1959757
1,resource_0,,0,resource creation,115766
2,resource_0,,0,looping overhead,168
3,resource_1,,0,resource creation,144537
4,resource_1,,0,looping overhead,124
5,resource_2,,0,resource creation,121096
6,resource_2,,0,looping overhead,108
7,resource_3,,0,resource creation,145090
8,resource_3,,0,looping overhead,119
9,resource_4,,0,resource creation,158383
10,resource_4,,0,looping overhead,145
11,resource_5,,0,resource creation,120455
12,resource_5,,0,looping overhead,117
13,resource_6,,0,resource creation,205160
14,resource_6,,0,looping overhead,142
15,resource_7,,0,resource creation,122947
16,resource_7,,0,looping overhead,111
17,resource_8,,0,resource creation,159754
18,resource_8,,0,looping overhead,123
19,resource_9,,0,resource creation,124988
20,resource_9,,0,looping overhead,128
21,resource_10,,0,resource creation,139321
22,resource_10,,0,looping overhead,106
23,resource_11,,0,resource creation,162835
24,resource_11,,0,looping overhead,107
25,resource_12,,0,resource creation,191336
26,resource_12,,0,looping overhead,132
27,resource_13,,0,resource creation,157409
28,resource_13,,0,looping overhead,136
29,resource_14,,0,resource creation,128130
30,resource_14,,0,looping overhead,123
31,resource_15,,0,resource creation,158626
32,resource_15,,0,looping overhead,149
33,resource_16,,0,resource creation,139076
34,resource_16,,0,looping overhead,108
35,resource_17,,0,resource creation,154088
36,resource_17,,0,looping overhead,104
37,resource_18,,0,resource creation,159480
38,resource_18,,0,looping overhead,108
39,resource_19,,0,resource creation,130506
40,resource_19,,0,looping overhead,109
41,resource_20,,0,resource creation,152152
42,resource_20,,0,looping overhead,147
43,resource_21,,0,resource creation,123263
44,resource_21,,0,looping overhead,107
45,resource_22,,0,resource creation,158075
46,resource_22,,0,looping overhead,110
47,resource_23,,0,resource creation,131333
48,resource_23,,0,looping overhead,118
49,resource_24,,0,resource creation,143411
50,resource_24,,0,looping overhead,144
51,resource_25,,0,resource creation,175565
52,resource_25,,0,looping overhead,110
53,resource_26,,0,resource creation,144817
54,resource_26,,0,looping overhead,111
55,resource_27,,0,resource creation,164348
56,resource_27,,0,looping overhead,120
57,resource_28,,0,resource creation,133723
58,resource_28,,0,looping overhead,151
59,resource_29,,0,resource creation,165493
60,resource_29,,0,looping overhead,174
61,resource_30,,0,resource creation,144760
62,resource_30,,0,looping overhead,132
63,resource_31,,0,resource creation,145699
64,resource_31,,0,looping overhead,110
65,resource_32,,0,resource creation,165634
66,resource_32,,0,looping overhead,116
67,resource_33,,0,resource creation,125780
68,resource_33,,0,looping overhead,106
69,resource_34,,0,resource creation,157723
70,resource_34,,0,looping overhead,108
71,resource_35,,0,resource creation,127669
72,resource_35,,0,looping overhead,113
73,resource_36,,0,resource creation,145020
74,resource_36,,0,looping overhead,103
75,resource_37,,0,resource creation,125685
76,resource_37,,0,looping overhead,111
77,resource_38,,0,resource creation,142075
78,resource_38,,0,looping overhead,189
79,resource_39,,0,resource creation,203679
80,resource_39,,0,looping overhead,146
81,resource_40,,0,resource creation,127269
82,resource_40,,0,looping overhead,104
83,resource_41,,0,resource creation,151116
84,resource_41,,0,looping overhead,101
85,resource_42,,0,resource creation,127327
86,resource_42,,0,looping overhead,109
87,resource_43,,0,resource creation,158390
