,res_id,filetype,filesize_mb,event,duration_ms,mb_per_sec
0,,,,xml upload preparation,1521,
1,_1MB_image_resource_0,jpeg,1,bitstream upload,679,1.5
2,_1MB_image_resource_0,jpeg,1,resource creation,264,
3,_1MB_image_resource_0,jpeg,1,looping overhead,0,
4,_1MB_image_resource_1,jpeg,1,bitstream upload,593,1.8
5,_1MB_image_resource_1,jpeg,1,resource creation,259,
6,_1MB_image_resource_1,jpeg,1,looping overhead,0,
7,_1MB_image_resource_2,jpeg,1,bitstream upload,599,1.7
8,_1MB_image_resource_2,jpeg,1,resource creation,164,
9,_1MB_image_resource_2,jpeg,1,looping overhead,0,
10,_1MB_image_resource_3,jpeg,1,bitstream upload,669,1.6
11,_1MB_image_resource_3,jpeg,1,resource creation,203,
12,_1MB_image_resource_3,jpeg,1,looping overhead,0,
13,_1MB_image_resource_4,jpeg,1,bitstream upload,597,1.7
14,_1MB_image_resource_4,jpeg,1,resource creation,166,
15,_1MB_image_resource_4,jpeg,1,looping overhead,0,
16,_1MB_image_resource_5,jpeg,1,bitstream upload,581,1.8
17,_1MB_image_resource_5,jpeg,1,resource creation,176,
18,_1MB_image_resource_5,jpeg,1,looping overhead,0,
19,_1MB_image_resource_6,jpeg,1,bitstream upload,591,1.8
20,_1MB_image_resource_6,jpeg,1,resource creation,195,
21,_1MB_image_resource_6,jpeg,1,looping overhead,0,
22,_1MB_image_resource_7,jpeg,1,bitstream upload,590,1.8
23,_1MB_image_resource_7,jpeg,1,resource creation,163,
24,_1MB_image_resource_7,jpeg,1,looping overhead,0,
25,_1MB_image_resource_8,jpeg,1,bitstream upload,725,1.4
26,_1MB_image_resource_8,jpeg,1,resource creation,195,
27,_1MB_image_resource_8,jpeg,1,looping overhead,0,
28,_1MB_image_resource_9,jpeg,1,bitstream upload,1864,0.6
29,_1MB_image_resource_9,jpeg,1,resource creation,221,
30,_1MB_image_resource_9,jpeg,1,looping overhead,0,
31,_1MB_image_resource_10,jpeg,1,bitstream upload,902,1.2
32,_1MB_image_resource_10,jpeg,1,resource creation,212,
33,_1MB_image_resource_10,jpeg,1,looping overhead,0,
34,_1MB_image_resource_11,jpeg,1,bitstream upload,703,1.5
35,_1MB_image_resource_11,jpeg,1,resource creation,202,
36,_1MB_image_resource_11,jpeg,1,looping overhead,0,
37,_1MB_image_resource_12,jpeg,1,bitstream upload,659,1.6
38,_1MB_image_resource_12,jpeg,1,resource creation,153,
39,_1MB_image_resource_12,jpeg,1,looping overhead,0,
40,_1MB_image_resource_13,jpeg,1,bitstream upload,710,1.5
41,_1MB_image_resource_13,jpeg,1,resource creation,154,
42,_1MB_image_resource_13,jpeg,1,looping overhead,0,
43,_1MB_image_resource_14,jpeg,1,bitstream upload,619,1.7
44,_1MB_image_resource_14,jpeg,1,resource creation,209,
45,_1MB_image_resource_14,jpeg,1,looping overhead,0,
46,_1MB_image_resource_15,jpeg,1,bitstream upload,601,1.7
47,_1MB_image_resource_15,jpeg,1,resource creation,178,
48,_1MB_image_resource_15,jpeg,1,looping overhead,0,
49,_1MB_image_resource_16,jpeg,1,bitstream upload,744,1.4
50,_1MB_image_resource_16,jpeg,1,resource creation,171,
51,_1MB_image_resource_16,jpeg,1,looping overhead,0,
52,_1MB_image_resource_17,jpeg,1,bitstream upload,629,1.7
53,_1MB_image_resource_17,jpeg,1,resource creation,206,
54,_1MB_image_resource_17,jpeg,1,looping overhead,0,
55,_1MB_image_resource_18,jpeg,1,bitstream upload,641,1.6
56,_1MB_image_resource_18,jpeg,1,resource creation,160,
57,_1MB_image_resource_18,jpeg,1,looping overhead,0,
58,_1MB_image_resource_19,jpeg,1,bitstream upload,686,1.5
59,_1MB_image_resource_19,jpeg,1,resource creation,182,
60,_1MB_image_resource_19,jpeg,1,looping overhead,0,
61,_1MB_image_resource_20,jpeg,1,bitstream upload,638,1.6
62,_1MB_image_resource_20,jpeg,1,resource creation,209,
63,_1MB_image_resource_20,jpeg,1,looping overhead,0,
64,_1MB_image_resource_21,jpeg,1,bitstream upload,682,1.5
65,_1MB_image_resource_21,jpeg,1,resource creation,167,
66,_1MB_image_resource_21,jpeg,1,looping overhead,0,
67,_1MB_image_resource_22,jpeg,1,bitstream upload,590,1.8
68,_1MB_image_resource_22,jpeg,1,resource creation,457,
69,_1MB_image_resource_22,jpeg,1,looping overhead,0,
70,_1MB_image_resource_23,jpeg,1,bitstream upload,1157,0.9
71,_1MB_image_resource_23,jpeg,1,resource creation,254,
72,_1MB_image_resource_23,jpeg,1,looping overhead,0,
73,_1MB_image_resource_24,jpeg,1,bitstream upload,673,1.5
74,_1MB_image_resource_24,jpeg,1,resource creation,170,
75,_1MB_image_resource_24,jpeg,1,looping overhead,0,
76,_1MB_image_resource_25,jpeg,1,bitstream upload,583,1.8
77,_1MB_image_resource_25,jpeg,1,resource creation,175,
78,_1MB_image_resource_25,jpeg,1,looping overhead,0,
79,_1MB_image_resource_26,jpeg,1,bitstream upload,608,1.7
80,_1MB_image_resource_26,jpeg,1,resource creation,452,
81,_1MB_image_resource_26,jpeg,1,looping overhead,0,
82,_1MB_image_resource_27,jpeg,1,bitstream upload,893,1.2
83,_1MB_image_resource_27,jpeg,1,resource creation,161,
84,_1MB_image_resource_27,jpeg,1,looping overhead,0,
85,_1MB_image_resource_28,jpeg,1,bitstream upload,1089,1
86,_1MB_image_resource_28,jpeg,1,resource creation,258,
87,_1MB_image_resource_28,jpeg,1,looping overhead,0,
88,_1MB_image_resource_29,jpeg,1,bitstream upload,712,1.5
89,_1MB_image_resource_29,jpeg,1,resource creation,194,
90,_1MB_image_resource_29,jpeg,1,looping overhead,0,
91,_1MB_image_resource_30,jpeg,1,bitstream upload,571,1.8
92,_1MB_image_resource_30,jpeg,1,resource creation,150,
93,_1MB_image_resource_30,jpeg,1,looping overhead,0,
94,_1MB_image_resource_31,jpeg,1,bitstream upload,621,1.7
95,_1MB_image_resource_31,jpeg,1,resource creation,166,
96,_1MB_image_resource_31,jpeg,1,looping overhead,0,
97,_1MB_image_resource_32,jpeg,1,bitstream upload,707,1.5
98,_1MB_image_resource_32,jpeg,1,resource creation,516,
99,_1MB_image_resource_32,jpeg,1,looping overhead,0,
100,_1MB_image_resource_33,jpeg,1,bitstream upload,1372,0.8
101,_1MB_image_resource_33,jpeg,1,resource creation,347,
102,_1MB_image_resource_33,jpeg,1,looping overhead,0,
103,_1MB_image_resource_34,jpeg,1,bitstream upload,782,1.3
104,_1MB_image_resource_34,jpeg,1,resource creation,187,
105,_1MB_image_resource_34,jpeg,1,looping overhead,0,
106,_1MB_image_resource_35,jpeg,1,bitstream upload,752,1.4
107,_1MB_image_resource_35,jpeg,1,resource creation,197,
108,_1MB_image_resource_35,jpeg,1,looping overhead,0,
109,_1MB_image_resource_36,jpeg,1,bitstream upload,583,1.8
110,_1MB_image_resource_36,jpeg,1,resource creation,158,
111,_1MB_image_resource_36,jpeg,1,looping overhead,0,
112,_1MB_image_resource_37,jpeg,1,bitstream upload,584,1.8
113,_1MB_image_resource_37,jpeg,1,resource creation,168,
114,_1MB_image_resource_37,jpeg,1,looping overhead,0,
115,_1MB_image_resource_38,jpeg,1,bitstream upload,630,1.7
116,_1MB_image_resource_38,jpeg,1,resource creation,212,
117,_1MB_image_resource_38,jpeg,1,looping overhead,0,
118,_1MB_image_resource_39,jpeg,1,bitstream upload,581,1.8
119,_1MB_image_resource_39,jpeg,1,resource creation,202,
120,_1MB_image_resource_39,jpeg,1,looping overhead,0,
121,_1MB_image_resource_40,jpeg,1,bitstream upload,604,1.7
122,_1MB_image_resource_40,jpeg,1,resource creation,167,
123,_1MB_image_resource_40,jpeg,1,looping overhead,0,
124,_1MB_image_resource_41,jpeg,1,bitstream upload,635,1.6
125,_1MB_image_resource_41,jpeg,1,resource creation,236,
126,_1MB_image_resource_41,jpeg,1,looping overhead,0,
127,_1MB_image_resource_42,jpeg,1,bitstream upload,1076,1
128,_1MB_image_resource_42,jpeg,1,resource creation,322,
129,_1MB_image_resource_42,jpeg,1,looping overhead,0,
130,_1MB_image_resource_43,jpeg,1,bitstream upload,914,1.1
131,_1MB_image_resource_43,jpeg,1,resource creation,162,
132,_1MB_image_resource_43,jpeg,1,looping overhead,0,
133,_1MB_image_resource_44,jpeg,1,bitstream upload,674,1.5
134,_1MB_image_resource_44,jpeg,1,resource creation,193,
135,_1MB_image_resource_44,jpeg,1,looping overhead,0,
136,_1MB_image_resource_45,jpeg,1,bitstream upload,616,1.7
137,_1MB_image_resource_45,jpeg,1,resource creation,199,
138,_1MB_image_resource_45,jpeg,1,looping overhead,0,
139,_1MB_image_resource_46,jpeg,1,bitstream upload,617,1.7
140,_1MB_image_resource_46,jpeg,1,resource creation,184,
141,_1MB_image_resource_46,jpeg,1,looping overhead,0,
142,_1MB_image_resource_47,jpeg,1,bitstream upload,765,1.4
143,_1MB_image_resource_47,jpeg,1,resource creation,186,
144,_1MB_image_resource_47,jpeg,1,looping overhead,0,
145,_1MB_image_resource_48,jpeg,1,bitstream upload,797,1.3
146,_1MB_image_resource_48,jpeg,1,resource creation,244,
147,_1MB_image_resource_48,jpeg,1,looping overhead,0,
148,_1MB_image_resource_49,jpeg,1,bitstream upload,816,1.3
149,_1MB_image_resource_49,jpeg,1,resource creation,198,
150,_1MB_image_resource_49,jpeg,1,looping overhead,0,
151,_1MB_image_resource_50,jpeg,1,bitstream upload,851,1.2
152,_1MB_image_resource_50,jpeg,1,resource creation,193,
153,_1MB_image_resource_50,jpeg,1,looping overhead,0,
154,_1MB_image_resource_51,jpeg,1,bitstream upload,612,1.7
155,_1MB_image_resource_51,jpeg,1,resource creation,240,
156,_1MB_image_resource_51,jpeg,1,looping overhead,0,
157,_1MB_image_resource_52,jpeg,1,bitstream upload,708,1.5
158,_1MB_image_resource_52,jpeg,1,resource creation,164,
159,_1MB_image_resource_52,jpeg,1,looping overhead,0,
