,res_id,filetype,filesize_mb,event,duration_ms,mb_per_sec
0,,,,xml upload preparation,1466,
1,_0.1.docx,docx,0.1,bitstream upload,132,0.8
2,_0.1.docx,docx,0.1,resource creation,146,
3,_0.1.docx,docx,0.1,looping overhead,0,
4,_0.1.jpeg,jpeg,0.1,bitstream upload,164,0.6
5,_0.1.jpeg,jpeg,0.1,resource creation,155,
6,_0.1.jpeg,jpeg,0.1,looping overhead,0,
7,_0.1.mp3,mp3,0.1,bitstream upload,129,0.8
8,_0.1.mp3,mp3,0.1,resource creation,168,
9,_0.1.mp3,mp3,0.1,looping overhead,0,
10,_0.1.mp4,mp4,0.1,bitstream upload,185,0.5
11,_0.1.mp4,mp4,0.1,resource creation,654,
12,_0.1.mp4,mp4,0.1,looping overhead,0,
13,_0.1.txt,txt,0.1,bitstream upload,123,0.8
14,_0.1.txt,txt,0.1,resource creation,152,
15,_0.1.txt,txt,0.1,looping overhead,0,
16,_0.1.zip,zip,0.1,bitstream upload,120,0.8
17,_0.1.zip,zip,0.1,resource creation,133,
18,_0.1.zip,zip,0.1,looping overhead,0,
19,_1.docx,docx,1,bitstream upload,562,1.8
20,_1.docx,docx,1,resource creation,179,
21,_1.docx,docx,1,looping overhead,0,
22,_1.jpeg,jpeg,1,bitstream upload,644,1.6
23,_1.jpeg,jpeg,1,resource creation,166,
24,_1.jpeg,jpeg,1,looping overhead,0,
25,_1.mp3,mp3,1,bitstream upload,632,1.6
26,_1.mp3,mp3,1,resource creation,164,
27,_1.mp3,mp3,1,looping overhead,0,
28,_1.mp4,mp4,1.1,bitstream upload,669,1.6
29,_1.mp4,mp4,1.1,resource creation,1879,
30,_1.mp4,mp4,1.1,looping overhead,0,
31,_1.txt,txt,1,bitstream upload,1132,0.9
32,_1.txt,txt,1,resource creation,698,
33,_1.txt,txt,1,looping overhead,0,
34,_1.zip,zip,1,bitstream upload,1163,0.9
35,_1.zip,zip,1,resource creation,162,
36,_1.zip,zip,1,looping overhead,0,
37,_10.docx,docx,10.1,bitstream upload,5540,1.8
38,_10.docx,docx,10.1,resource creation,146,
39,_10.docx,docx,10.1,looping overhead,0,
40,_10.jpeg,jpeg,10.1,bitstream upload,5014,2
41,_10.jpeg,jpeg,10.1,resource creation,155,
42,_10.jpeg,jpeg,10.1,looping overhead,0,
43,_10.mp3,mp3,10,bitstream upload,5934,1.7
44,_10.mp3,mp3,10,resource creation,177,
45,_10.mp3,mp3,10,looping overhead,0,
46,_10.mp4,mp4,10.5,bitstream upload,5587,1.9
47,_10.mp4,mp4,10.5,resource creation,2196,
48,_10.mp4,mp4,10.5,looping overhead,0,
49,_10.txt,txt,10,bitstream upload,6090,1.6
50,_10.txt,txt,10,resource creation,175,
51,_10.txt,txt,10,looping overhead,0,
52,_10.zip,zip,10.5,bitstream upload,5796,1.8
53,_10.zip,zip,10.5,resource creation,149,
54,_10.zip,zip,10.5,looping overhead,0,
55,_100.docx,docx,102.4,bitstream upload,58446,1.8
56,_100.docx,docx,102.4,resource creation,200,
57,_100.docx,docx,102.4,looping overhead,0,
58,_100.jpeg,jpeg,101.8,bitstream upload,47992,2.1
59,_100.jpeg,jpeg,101.8,resource creation,267,
60,_100.jpeg,jpeg,101.8,looping overhead,0,
61,_100.mp3,mp3,100.4,bitstream upload,59380,1.7
62,_100.mp3,mp3,100.4,resource creation,188,
63,_100.mp3,mp3,100.4,looping overhead,0,
64,_100.mp4,mp4,99.4,bitstream upload,70867,1.4
65,_100.mp4,mp4,99.4,resource creation,11963,
66,_100.mp4,mp4,99.4,looping overhead,0,
67,_100.txt,txt,100,bitstream upload,61662,1.6
68,_100.txt,txt,100,resource creation,183,
69,_100.txt,txt,100,looping overhead,0,
70,_100.zip,zip,102.1,bitstream upload,60834,1.7
71,_100.zip,zip,102.1,resource creation,162,
72,_100.zip,zip,102.1,looping overhead,0,
